编号,岗位名称,岗位要求
,,
182,海外人力资源总监/专家,"汇报对象：CEO

岗位职责：

1、负责公司海外战略性的人力资源管理工作，包括人才招聘，薪酬福利，绩效管理，员工关系，培训和人才发展；
2、制定当地力资源的政策和标准，确保组织高效运转；
3、跟据公司的方向和合规要求，规划并执行人资行政的政策和流程；
4、参与关键岗位的招聘工作，并妥善安排新员工的入职培训；
5、监控并统筹月度薪酬的审核，包括保险和个税缴纳等；
6、负责薪酬激励方案的指定，完成年度绩效考核和薪酬回顾；
7、员工关系项目的立项和落地，提前员工的归属感和企业品牌的知名度；
8、负责全球分公司的文化搭建；
9、其他海外公司人资管理相关工作。


职位要求
1. 人力资源相关专业统招本科及以上学历，年龄35-45岁之间尤佳 
2. 10年以上人力资源相关工作经验，5 年以上高速发展性企业的海外人力资源管理工作，尤其是有海外HR全盘管理经验，有从0到1的海外业人力资源体系搭建经验尤佳；
3. 有丰富的海外用工管理经验，对现代人力资源管理领域主要工作模块具有丰富的实际管理、操作经验； 
4. 具备很强的计划性和实施执行的能力及激励、沟通、协调、团队领导能力，高度的责任心和事业心； 
5. 具备良好的人际交往能力、解决复杂问题的能力。
6. 英文口语流利，能作为工作语言，能接受海外出差。
"
,,
183,人力资源总监,"1、负责公司外部招聘及内部选拔工作：根据公司发展和业务需要，分析人力资源需求，制定并实施招聘计划；
2、完善公司招聘制度、招聘流程和招聘体系；
3、拓展并维护招聘渠道及相关资源，调研了解业内人才动态，建立后备人才选拔和储备机制；
4、负责办理新员工入职事宜，在授权范围内为员工答疑解惑。 "
,,
184,人力资源总监,"岗位职责：

1、全面统筹规划公司的人力资源战略；

2、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度；

3、向公司高层决策者提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理水平;

4、 塑造、维护、发展和传播企业文化；

5、组织制定公司人力资源发展的各种规划，并监督各项计划的实施；

6 、为公司主管以上的管理者进行职业生涯规划设计；

7、及时处理公司管理过程中的重大人力资源问题；

8、 完成总经理临时交办的各项工作任务。

岗位要求：

1、大专及以上学历，有过教育培训行业人力资源管理经验；

2、有过人才梯队搭建经验，并且在教育培训行业有自己的人脉资源，有自己的招聘渠道；

3、有制定培训计划，并组织培训实操经验。"
,,
185,人力资源总监,"岗位职责：
1.根据公司战略发展，统筹和规划企业人力资源整体运作，制订适合公司的人力资源政策；
2.组织制订人力成本计划，按职能对各部门进行定岗定员，严格控制人力成本；
3.制订人力资源年度工作计划与目标并实施；
4.制定人事管理制度、招聘体系、员工培训体系，优化薪酬福利体系，并针对不同部门员工建立绩效评价体系；
5.组织企业进行工作分析，职务测评与组织架构评估，制订岗位职责说明书，使其符合企业中长期战略规划；
6.保障企业关键岗位人才供给与培养，为中基层管理和技术岗位提供保障；
职位要求：
1.30岁以上，45岁以下人力资源专业或企业管理专业本科或以上学历；
2.7年以上企业人力资源从业经验，3年以上人力资源部经理工作经历；
3.精通现代人力资源管理理论，对人力资源各领域工作内容熟悉，具有企业战略规划及人力规划善于人力成本控制及风险管理；
4.熟悉国家相关的政策，法律法规；
5.具有良好的职业道德，为人正直，有责任心。精力充沛，有较好的人际交往能力，团队组织能力、执行力和沟通能力，能承受较大的工作压力；
6.有一线或者D轮以上互联网科技公司人事管理经验优先。"
,,
186,集团人力副总监（招聘＆培训）,"职责描述：

1、建立并完善公司人力资源管理体系，制定、改革、完善人力资源管理制度并推动落地；

2、根据业务发展计划制定并实施公司的招聘计划，建立持续有效的人才供应模式，确保人才有效供应；

3、制定和建立员工岗位发展规划，确保合理、有竞争力、具激励性的员工发展路径；

4、向公司高层决策者提供有关人力资源战略、组织机构建设等方面的建议，并致力于提高公司的综合管理水平；

5、建立公司内部畅通的沟通渠道，及时了解员工的意见和想法，给相关部门提出合理化建议；

6、组织和推动公司文化建设，提供有利的人文环境，增强企业凝聚力。

职位要求：

1、统招本科以上学历，有物业行业人力资源从业经验者优先；

2、八年以上人力资源工作经验，五年以上管理经验；

3、对现代企业人力资源管理模式有系统的了解，对人力资源战略规划及各模块工作有深刻的理解和娴熟的操作技巧；

4、具有亲和力，出色的沟通、协调、团队领导能力，职业形象较优；

5、熟悉国家、地区有关劳动方面的法律法规、政策规定。
"
,,
187,人力资源总监,"职责描述：
 1、全面负责制定片区整体人力资源战略规划、经营管理、行政管理等全面统筹管理工作； 
2、统筹事业部人力资源工作，负责提升业务部门组织发展，人才发展和企业文化落地，确保公司战略在业务部门的落地执行； 
3、向部门高层决策者提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；
4、组织高端人才筛选、发展、招聘、培训、绩效、管理、优化等体系建设； 5、负责推动事业部活动策划、执行、对外公共事务、外联事宜等工作。 
任职要求： 
1、行政管理、人力资源相关专业优先； 
2、5年以上人力行政管理经验，有汽车、锂电、铅酸电池、冶金钢铁、制造业等相关行业背景同岗经验优先； 
3、拥有人才资源，职业道德优良，责任心强，具有团队协作精神； "
,,
188,VC被投资企业人力资源总监(IT互联网）,"此职位为复星锐正资本所投资的互联网/IT创业公司职位，如果大家对创业公司感兴趣欢迎联系我们。



职位描述：

岗位职责：

1. 全面统筹、规划公司人力资源发展战略，设计符合公司运作的人力资源管理模式，组织制定公司人力资源发展的各种规划，并实施人力资源中的规划、招聘、培训、工资福利、考核、员工关系等六大模块工作；

2. 制订、推动、监督人力资源各项流程和制度，并根据公司发展情况不断修正和完善;

3. 做好公司内外联络、沟通协调等工作，塑造、维护、发展和传播企业文化；

4. 建立并完善人力资源管理体系，保障公司各部门人才引进；根据公司业务发展制定年度招聘计划并负责实施；

5. 负责根据公司各部门培训需求制定年度培训计划（包括内训和外训）并负责实施；

6. 规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。



任职要求：

1. 本科或以上学历，人力资源管理或企业管理相关专业优先；

2. 至少5年以上大型互联网企业人力资源总监经验，熟悉大型互联网金融企业管理经验者优先考虑；

3. 了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规；

4. 具备很强的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力；

5. 为人正直、诚信，可承担工作压力 ，并具有极强的保密意识，责任心强；

6. 有金融或上市集团公司人力资源总监经历者优先。

7. 抗压能力强，能承受较频繁的出差要求。 "
,,
189,人力资源总监,"岗位职责：

1、根据集团人力资源战略规划与管控要求，组织本级公司人力资源规划与管控要求落地，有效支持区域公司业务发展；

2、负责区域管辖公司人力资源相关制度体系、“三重一大”决策机制等监督检查工作落实，指导和监督区域内地市公司人力资源工作；

3、根据区域业务发展规划建立区域人力资源战略规划及与之相匹配的人力资源管理机制，并推动执行；

4、根据集团管理要求统筹区域人力资源管理工作，包括组织管理，人才培养，人力资源评价，薪酬福利及激励管理等，制定和完善相应的人力资源管理制度流程；

5、推进公司企业文化建设，提高团队战斗力、凝聚力，形成良好的企业氛围；

6、完成上级领导交办的其他工作。

任职资格：

1、 全日制本科及以上学历，人力资源相关专业优先，党员优先；

2、 10年及以上人力资源管理工作经验，5年以上大型集团性/全国性企业人力资源全面管理工作经验，有医药行业人力资源管理背景优先；

3、 对人力资源各个职能模块有全面深入的认识和理解，熟悉国家相关政策、法律法规；

4、 具备优秀沟通、协调能力，具有较强的语言和文字表达能力；

5、 具有解决复杂问题的能力，具备独立工作能力及良好的工作推进能力；

6、较强的激励、沟通、协调、团队领导能力，责任心、事业心强，具备良好的管理能力和决策能力。"
,,
190,人力资源副总监,"工作职责：
1.	组织搭建事业部人力资源管理体系并实施（包含组织架构、职位体系、任职资格体系、定岗定编、中高级人才盘点、绩效薪酬体系、长期激励、人才培养等）；
2.	组织制定事业部人力资源发展的中、长期规划和年度计划；
3.	研究、梳理区域、项目公司的人力资源管理模式；
4.	指导下属有效开展招聘、培训、绩效、薪酬、员工关系、企业文化等各项人力资源工作；
5.	主导高级人才的引进。

任职要求：
1.	本科及以上学历，人力资源管理相关专业；
2.	8年以上互联网人力资源从业经验，3年以上同岗工作经验；
3.	具有一定的房地产/建筑行业高端人才资源；
4.	具有较强的团队领导能力、人际沟通、计划与执行、抗压能力。"
,,
191,人力资源总监（北京）,"（一）岗位职责
1、人员招聘及人才储备；
2、制定公司绩效考核、员工激励奖惩等制度，并实施考评；
3、薪资架构体系的完善；
4、制定年度培训计划，并实施培训、考核；
5、完善公司各种规章制度并监督、落实。
（二）任职要求
1、人力资源管理、心理学、管理学等相关专业本科以上学历；
2、三年以上人力资源管理工作经验，一年以上同等职位工作经验；
3、熟练掌握人力资源管理、管理学、心理学等领域的专业知识，具备较强的
亲和力、沟通协调能力和学习能力；
4、文笔好，具备熟练运用计算机和办公软件的能力。"
,,
192,人力资源副总监,"职责描述：
1、负责建立、修订和完善各项人事行政管理制度并监督实施；
2、参与公司战略规划，对相关重大经营管理活动提出建议并参与决策；
3、根据公司年度经营管理计划，编制本部门整体工作计划，并负责落实和监督；
4、根据公司发展战略及规划，制定企业中、长期人力资源规划；
5、负责本部门的年度费用控制和预算管理；
6、负责人力资源规划、招聘、培训、绩效、薪酬、员工关系体系的建设和实施；
7、负责高层管理团队建设，选拔中高层管理人员，审定公司内部管理机构设置方案和基本管理制度；
8、根据公司经营战略，编制企业文化建设规划，把握企业管理方向，倡导企业文化。

任职要求：
1、本科及以上学历，人力资源管理、 工商管理等相关专业优先考虑；
2、有8年以上中大型企业人事相关经验优先；
3、较强的领悟和理解能力，反应灵敏，思路清晰；
4、有较强的工作计划性及执行力，较好时间管理及抗压性；
5、文字功底扎实，有较好的归纳总结能力；
6、具备良好的沟通协调能力以及对外交际能力。

学历硬性要求全日制本科学历

"
,,
193,人力资源总监,"岗位职责：
1.负责公司全面人力资源工作（组织、人才、氛围），对子公司业务增长和团队管理负责
2.承接集团战略人力资源要求，推行规范化和制度化管理
3.对子公司中高管团队和干部梯队发展的领导力发展进行规划和推进
4.组建人力资源团队，培养人力资源下属
5.管理外部猎头、人才服务供应商，并做好筛选、审核和引进工作
职位要求：
1.5年以上人力资源经验，熟悉招聘
2.过往所在企业要有超过500人以上的规模，并推行过企业的招聘体系、职位要求：
体系和薪酬体系
3.有跟猎头公司和咨询公司合作的经验，并能形成良好的互动
"
,,
194,HRVP/CHO/人力资源总监,"工作职责：制定集团化经营的公司人力资源的战略规划，并监督执行，负责建立畅通的沟通渠道和有效的激励机制，全面负责人力资源部门的工作。
工作内容：
1、根据公司发展战略，组织制定人力资源战略规划。参与公司重大人事决策。定期组织收集有关人事、招聘、培训、考核、薪酬等方面的信息，为公司重大人事决策提供信息支持。定期组织收集员工想法和建议。
2、根据公司的情况，组织制定公司招聘制度、培训制度、薪酬考核制度、人事档案管理制度、员工手册等规章制度、实施细则和工作程序，并组织实施。负责工作分析、岗位说明书与定岗定编工作，提出机构设置和岗位职责设计方案，对公司组织结构设计提出改进方案。
3、负责建立公司、子公司内部畅通的沟通渠道，及时了解员工意见和想法。积极听取和采纳员工合理化建议，并反馈给相关部门。受理员工投诉，调查后落实相关部门解决。负责建立有效的激励机制，充分发挥员工的积极性和创造性。
4、组织制定公司年度人力资源需求计划。组织人员招聘过程，通过多种渠道为公司寻求合适的人才。组织制定公司培训计划，组织人员参加培训，评估培训效果。负责组织公司员工的考核，处理员工针对考核结果的申诉。依据公司工资总额，编制公司年度薪资调整方案，审核公司员工每月的薪酬。负责处理各种与劳动合同相关的事宜。
5、负责对公司部门工作的考核。负责公司人力资源信息的上传下达工作。代表公司与政府及其他单位对口部门沟通、协调。
6、负责将部门工作计划分解到个人，并监督计划完成情况。评价考核下属员工工作完成状况。控制部门预算的使用情况。
任职资格
1、统招研究生以上学历，优先人力资源、工商管理等专业。10年以上新能源行业从业经验，至少3年以上全盘管理经验
2、对现代企业人力资源管理模式有系统的了解和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，能够指导各个职能模块的工作；
3、受过战略管理、战略人力资源管理、组织变革管理、管理能力开发等方面的培训；
4、具有战略、策略化思维，有能力建立、整合不同的工作团队等"
,,
195,人力资源总监,"职位描述：

技能技巧要求：

1、人力资源管理及相关专业，8年以上工作经验，其中至少具有3年以上管理岗位经验，具世界500强、上市公司、集团化企业等工作经验优先，须至少取得助理人力资源管理师以上资格证书；

2、对集团化企业之组织规划、人才发展、人员招聘、制度建设、员工岗位素质建设和胜任要求、绩效规划建设与推动等具有某一方面的特长或实务规划和操作经验；

3、能够较好地运用某一人力资源方面的评价工具对人力资源组织发展、绩效考核等进行有效推动与评判；

4、人力资源方面专业基础较为扎实，能够从专业角度统筹和规划集团化经营组织未来发展与实践；

5、对企业文化建设和推动有一定的经验和可赞之处为佳，文字功底扎实，熟悉现代办公系统。



岗位职责内容：

1、负责集团内部组织建制与梳理，以达集团化发展的整体规划要求；

2、负责集团各部管理岗位、内部职等、编制设定、直接人力与间接人力比例监管，达到管理幅度与深度合理、编制科学、比例协调；

3、主导办理各级部门岗位盘点梳理、岗位说明书编撰、职员工素质模型建立，新人职等与薪点定位；

4、负责指导集团人力资源与行政管理涉及组织建设、制度规划、流程建设等诸多方面整体规划与推进；

5、精细推进现有绩效考核机制，并公平公正兑现相关激励政策；

6、负责涉及创新机制、合理化建议、提案改善等机制建设与推动开展；

7、负责各业务领域之技术、管理、专业、体系等成功经验和技能的汇总编撰和推广；

8、对集团未来经营发展提供可行性调研和规划指导建议。"
,,
196,人力资源总监,"岗位职责：
1.根据公司发展战略，组织制定短、中、长期人力资源工作规划，制定一整套人力资源管理制度并组织实施；
2.建立和完善人力资源管理体系，制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等；
3.全面负责公司人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
7.负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；
8.及时处理公司人事行政管理中的重大问题，负责公司的企业文化建设；
9.规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。
职位要求：
1.人力资源、管理或相关专业背景，本科及以上学历；
2.八年以上相关工作经验；
3.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；有集团化管理工作经验优先考虑；
4.具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5.熟悉国家、地区相关方面的法律法规及政策；
6.具有战略、策略化思维，有能力建立并整合不同的工作团队；
7.具备较强的计划性和实施执行的能力。"
,,
197,人力资源部总监助理,"工作职责:

1、能从战略-组织-管理-执行层面协助制定公司人力资源战略实施规划，并推动人力资源战略规划的落地；

2、结合公司战略，协助人资负责人完成核心业务的组织赋能，包括团队的整合、人才发展规划、组织结构优化及效率提升；

3、协助人资负责人管理中国的人力资源工作，并督办、跟进各类重大事项或项目进展，提出可行性建议；

4、协助人资负责人调整与完善人力资源管理体系（包含招聘、培训、薪酬绩效、员工关系、人才发展等）；

5、提供资源、组织结构方面的建议，并能有效提高公司人员综合业务水平，控制人力资源成本，提高人力资源效率；

6、完成上级领导交办的其他事项。



任职资格:

1、大学本科及以上学历，人力资源相关专业毕业优先；

2、5年以上快递物流行业或劳动密集型行业、制造业的人力资源管理经验，具有人资多个模块的管理经验；

3、熟悉国家人事政策和法律法规；

4、事业心强，具有较强的沟通能力、计划与执行能力、良好的管理能力及决策能力。"
,,
198,海外人力总监,"1、根据公司经营发展战略，制定公司人力资源整体战略规划和具体实施计划，根据经营发展需要，及时调整公司/业务板块的人力资源政策，进行组织变革；

2、负责主持公司/业务板块的组织机构，人员编制，薪酬管理，绩效管理，内勤人员的培训管理等设计、规划以及日常管理工作；

3、负责主持公司/业务板块的人才发展战略与规划设计，为公司挖掘并培养人才梯队，优化人才结构，合理配置人力资源，并引入高级人才，强化提高公司/业务板块的人才水平；

4、负责公司/业务板块内外部的部门机构进行协调沟通，建立并维护与公司人力资源部对口的相关机构和单位的关系。



任职资格：

1、具备出色的综合英语能力，包括听说读写等；

2、具备出色的领导能力；

3、沟通协调能力及事务推动力强

4、3年及以上大型外企或全球化集团的海外公司人力资源管理经验，对海外的劳动政策熟悉，有实操经验"
,,
199,VC被投资企业人力资源总监(IT互联网）,"此职位为复星锐正资本所投资的互联网/IT创业公司职位，如果大家对创业公司感兴趣欢迎联系我们。



职位描述：

岗位职责：

1. 全面统筹、规划公司人力资源发展战略，设计符合公司运作的人力资源管理模式，组织制定公司人力资源发展的各种规划，并实施人力资源中的规划、招聘、培训、工资福利、考核、员工关系等六大模块工作；

2. 制订、推动、监督人力资源各项流程和制度，并根据公司发展情况不断修正和完善;

3. 做好公司内外联络、沟通协调等工作，塑造、维护、发展和传播企业文化；

4. 建立并完善人力资源管理体系，保障公司各部门人才引进；根据公司业务发展制定年度招聘计划并负责实施；

5. 负责根据公司各部门培训需求制定年度培训计划（包括内训和外训）并负责实施；

6. 规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。



任职要求：

1. 本科或以上学历，人力资源管理或企业管理相关专业优先；

2. 至少5年以上大型互联网企业人力资源总监经验，熟悉大型互联网金融企业管理经验者优先考虑；

3. 了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规；

4. 具备很强的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力；

5. 为人正直、诚信，可承担工作压力 ，并具有极强的保密意识，责任心强；

6. 有金融或上市集团公司人力资源总监经历者优先。

7. 抗压能力强，能承受较频繁的出差要求。 "
,,
200,人力资源总监,"岗位职责

1.	根据公司发展需要，参与制定人力资源战略规划，为重大人事决策提供建议和信息支持，提高公司的综合管理水平；

2.	建立并完善公司人力资源管理体系，研究、设计适合公司发展的人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度并实施；

3.	招聘优秀管理团队，实施人才发展储备计划，为公司各项发展提供人才保障，向公司高层提供有关人力资源战略、组织建设等方面的建议与实施；

4.	制订平台及各个项目、岗位的科学的绩效管理标准体系，组织实施绩效考核，并对绩效评价过程进行监督控制，不断完善绩效管理体系； 

5.	根据公司业务发展规划，拟订薪资福利管理制度及薪资激励体系，监控人力资源成本，塑造、维护、发展和传播企业文化，丰富员工精神生活，增强员工对企业的归属感与团队凝聚力；

6.	及时处理公司管理过程中的重大人力资源问题；

7.	完成领导临时交办的其它工作。



任职要求：

1.	人力资源管理、企业管理、工商管理等相关专业本科以上学历；

2.	5年以上人事管理经验，3年以上金融投资行业人力资源总监工作经验；

3.	擅长各类中高级人才的甄别和选拔，有5年及以上专职招聘工作经验，具备猎头经验优先；

4.	对人力资源各个职能模块有全面和深入的认识并理解，熟悉国家相关政策、法律法规；

5.	具有极强的计划性和执行能力，有良好的沟通协调能力、组织能力；

6.	具有战略、策略化思维，有能力建立、整合不同的工作团队；

7.	亲和力强，抗压能力强，富有工作积极性。

"
,,
201,人力资源副总监 (MJ001474),"岗位职责：

1.熟悉业务部门的战略，并进行组织诊断，为战略落地提供建议、规划并参与实施；

2.为组织发展提供人力资源支持，定期进行组织盘点，在招聘、培训、绩效考核、薪酬、员工关系等方面为业务部门提供有效的解决方案并实施；

3.在业务部门内推动公司层面的变革，负责完善业务部门人力资源的制度、流程、体系；提升人力资源运作效率；

4.传承公司文化，发扬价值观，建设沟通渠道，保证组织的持续健康成长；

5.主动与总部管理层、一线主管及员工进行多种形式的接触和有效沟通，保证信息的有效传递；

任职要求：

1.统招大学本科或以上学历，top30强履历优先；

2.5年以上人力资源工作履历，熟悉HR流程体系，在招聘/绩效管理/员工关系/组织发展等某一模块有沉淀，房地产行业经验3年以上；

3.较强的逻辑思考、学习和抗压力；

4.沟通协调能力强，有亲和力，有责任心；

5.善于团队文化推动和氛围建设者优先。

"
,,
202,人力资源总监（培训方向）,"工作职责：
1、根据集团发展战略，构建和运作基于组织能力发展的培养体系，建立、完善相关培训管理制度;
2、基于业务发展的培训需求，制定针对性的培训计划及培训项目，统筹内外部资源落地执行项目计划，管控培训过程，跟踪调研、反馈评估培训效果等;
3、搭建多层面的资源共享平台，整合内外部培训资源并统筹管理。
任职资格：
1、国家统招本科及以上学历(优先)，教育类、管理类相关专业;
2、5年以上大型集团级培训管理相关经验，有集团人才发展项目的实操管理经验，在培训体系搭建、方案策划等方面具备丰富的经验，能够为业务部门提供人才发展相关的专业意见和指导;
3、具有较强的内驱力，主动性强，具备前瞻性和创新精神，良好的组织、沟通、协调能力，强烈的进取心和责任心，能承受一定的工作压力。"
,,
203,人力资源总监hrd,"根据单元经营目标，组织制定人力资源年度规划，明确人力资源目标；
明确事业部人力资源管控模式，建设人力资源团队，使整体人力资源配置更好地满足业务发展的需要； 向公司高层决策者提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理水平；
推动事业部企业文化建设，塑造、维护、发展和传播公司企业文化，提高员工对企业文化的认同度、员工归属感；
全面统筹人力资源管理体系，带领团队不断提升业务能力，满足经营目标达成；
根据集团整体部署，组织实施事业部组织结构调整；
下属子公司人力资管控体系的建立，对各公司人力资源管理工作的开展指导并监督执行。
具体面议"
,,
204,顺丰人力资源总监,"工作职责：

1、依据公司人力资源政策、地区业务发展规划，拟定细化本区域的人力资源工作规划与方案；

2、主动识别业务潜在人力资源需求，并快速响应提供全面人力资源解决方案；

3、制定和执行地区人才规划，统筹地区人才选、育、用、评工作的实施，为地区经营搭建健康的人才梯队；

4、进行合理有效的人力资源投入，制定有效的绩效激励牵引制度，管控地区的人力成本，实现人力资本投资回报合理化；

5、对经营管理中的人员保留、劳资异常事件，进行系统性的管控、预防或及时参与解决，创造更稳定的工作环境；

6、积极正向传导公司文化，能够积极主动的掌握员工的思想动态，激发员工的自驱，持续营造积极、健康、阳光的团队氛围；

7、推动新业务/变革项目在地区的落地，营造积极创新变革的氛围。

岗位要求：

1.   本科及以上学历，人力资源管理、心理学、工商管理等相关专业；

2.   5年以上大中型企业全盘人力资源管理经验，具有连锁行业、劳动密集型行业人力资源工作经验优先；

3. 掌握现代人力资源理论知识和实践积累，深刻理解人才管理的方法论，拥有较强的组织管理、逻辑思维、沟通协调、解决问题及学习能力；

4.  具备较好的领导能力、系统思考力和沟通影响力，勇于开拓创新，有较好的客户思维、产品思维；

5.  身体健康，适应短期出差，接受全国地点调配；

6.  有3-6个月培训期，定岗需服从公司调配（入职后纳入人资部负责人后备池，由集团统筹培养）"
,,
205,人力资源总监,"工作职责：

1、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度；

2、向公司高层决策者提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理水平;

3、负责处理各业务模块事务，组织制定公司人力资源发展的各种规划，并监督各项计划的实施；

4、及时处理公司管理过程中的重大人力资源问题。

任职资格：

1、人力资源管理或相关专业本科以上学历，人力资源管理资格证二级以上，懂业务，有地产，特别产业园区运营等企业工经验者优先考虑；

2、5年以上工作经验，2年以上人力资源总监管理经验;

3、具有较强的绩效管理能力，具有很强的计划性和执行能力，良好的沟通协调能力、组织能力；"
,,
206,人力资源总监,"职责描述：
1、根据公司发展战略，组织制定厂区人力资源工作规划行政管理；
2、全面负责所辖厂区人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4、定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5、规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持；
任职要求 必须具有鞋服厂区人力资源行政经历
1、本科及以上学历，人力资源等相关专业；
2、10年人力资源从业经验，其中至少3年以上高级经理或以上经验；
3、对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；
4、具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5、熟悉国家、地区相关方面的法律法规及政策；
6、具备较强的计划性和实施执行的能力。



任职要求："
,,
207,全球人力资源总监HRVP,"职责描述：

1. 按照集团整体发展战略，制定公司人力资源开发计划，全面规划人力资源管理工作，指导和协调公司人力资源管理和实施，满足公司的人才发展需求，确保实现公司整体战略目标;

2. 完善公司人力资源平台及人力资源管理体系，研究完善人力资源管理模型（选育用留）

3. 向公司高级决策者提有关人力资源战略，组织建设方面的建议，并致力于提高公司的综合管理水平

4. 负责建立顺畅的沟通管道和有效的激励机制，塑造、维护、发展和传播公司文化，持续推动雇主品牌建设；

5. 负责建立和维护人力资源管理规则和秩序，增强员工的工作积极性，增强公司团队凝聚力，提高工作效率。为各级主管干部提供相应的指导和培训，以掌握和使用人力资源管理系统；

6. 以人才队伍能力建设为核心，完善公司人才储备和梯队建设，为公司管理干部进行职业生涯规划设计，控制人工成本，促进人员效能提升；

7.负责开拓、利用外部资源，支持公司人力资源管理工作，并代表公司与政府及其他单位对口部门沟通、协调;

8.全球各海外据点人资政策统筹及管控；

9.定期向总经理汇报人力资与昂管理方面的工作;

任职要求：

1. 全日制本科及以上学历，管理类、机电工程、心理学等类相关专业；

2. 15年以上人力资源管理工作经验，10年以上消费电子EMS行业全球HRD工作经验,有电子制造业整体运营经验者优先考虑；

3. 熟悉全球EMS商业模式，能对公司业务开展形成全面有效支撑，并能依据模式特点进行人力资源战略规划及实施；

4.接受过战略管理、人力资源、组织变革、人才开发等方面系统培训；有丰富的大型电子制造业人才队伍、人力资源体系搭建工作经验及行业人才储备，有企业文化和雇主品牌建设实操工作经验；

5.为企业整体发展战略提供组织和人才支持，对大型电子制造企业人力资源管理模式有系统的了解和实践，熟悉人力资源日常管理工作流程；对人力资源战略规划、人才引进、绩效考核、

6能用英语进行工作沟通，听说读写熟练;

7.具备很强的个人魅力，为人正直、诚实，原则性强、认真负责，具有较强的领导能力、判断决策能力、沟通协调能力、计划与执行能力。

"
,,
208,人力总监,"岗位职责：

1、建立并完善公司人力资源、行政管理制度和体系；

2、向公司高层提供有关人力资源战略、组织建设等方面的建议；

3、根据公司战略目标，制定和推行人力资源部年度工作计划；

4、根据公司人员需求，全面制定和推进招聘工作；

5、发展并宣扬公司企业文化，提升企业文化内涵，丰富员工精神生活，增强员工对公司的归属感和团队凝聚力；

6、及时处理公司管理过程中的重大人力资源问题。"
,,
209,人力资源总监（海外国际总部）,"岗位职责：
1.	协助统筹组织搭建国际总部、全球分子公司和基地人力资源管理体系并实施（包含组织架构、定岗定编、中高级人才盘点、绩效薪酬体系、人才培养等）；
2.	组织制定国际业务人力资源发展的中、长期规划和年度计划；
3.	研究、梳理区域、基地公司的人力资源管理边界与职能；
4.	指导下属有效开展招聘、培训、绩效、薪酬、员工关系、企业文化等各项人力资源工作；
5.	主导高级海外人才的引进。

任职要求：
1.	本科及以上学历；
2.	10年以上人力资源工作经验，3年以上海外人力负责人经验，尤其擅长组织发展、招聘与配置、人才发展、薪酬绩效等模块；
3.	具有机械制造、新能源、新材料、矿山、冶炼、智能制造企业工作经验佳；
4.	具有较强的团队领导能力、人际沟通、计划与执行、抗压能力；
5.     英语可作为工作语言者优先。"
,,
210,人力资源副总监,"工作职责:
集团HRBP总角色，指导分子公司人力资源部长工作，后期负责成立人力资源公司
任职资格:
1、有全面的人力资源工作经验，擅长薪酬、员工关系管理，熟悉劳务派遣；
2、全日制本科以上学历，年龄30-40岁。"
,,
